job_id,title,company,location,job_type,domain,description,responsibilities,required_skills,preferred_skills,qualifications,experience_required,education_required,stipend_or_salary,apply_link
111,Cloud Engineer Intern,Meridian Data Co,Noida,Internship,Cloud & DevOps,"Help us build and maintain scalable, reliable cloud infrastructure for a multi-region deployment.",Assist in cloud cost optimization | Manage container orchestration | Automate deployment pipelines for a multi-region deployment,"Linux, Docker, Shell Scripting",GCP,MBA (any specialization),0 years (Fresher/Student),MBA (any specialization),"₹20,000/month",https://careers.example.com/jobs/111
166,Software Development Intern,Marble Arch Analytics,Delhi NCR,Internship,Software Development,We are looking for a motivated individual to join our engineering team and help build an internal tools platform.,Collaborate with cross-functional teams on an internal tools platform | Debug and fix issues in existing modules | Participate in code reviews,"Git, Python, Java","AWS, CI/CD",Any graduate (technical background preferred),0 years (Fresher/Student),Any graduate (technical background preferred),"₹15,000/month",https://careers.example.com/jobs/166
114,Business Analyst Intern,CloudNine Systems,Gurgaon,Internship,Business Analysis,Support our product and strategy teams by analyzing data related to a logistics platform.,Support product roadmap planning | Prepare reports and dashboards | Analyze data to identify trends,"SQL, Excel, Requirement Gathering, Data Analysis",Tableau,MBA (any specialization),0 years (Fresher/Student),MBA (any specialization),"₹12,000/month",https://careers.example.com/jobs/114
48,Web Developer Intern,Meridian Data Co,Ahmedabad,Full-time,Web Development,"Help us build and maintain fast, modern web experiences for a marketing website.",Build responsive UI components for a marketing website | Integrate REST APIs into the frontend | Optimize page load performance,"CSS, HTML, Responsive Design","Node.js, TypeScript",BCA / B.Sc IT,0-2 years,BCA / B.Sc IT,₹6 LPA,https://careers.example.com/jobs/48
14,Embedded Systems Intern,Novacore Systems,Bhopal,Internship,Embedded Systems & IoT,Work on embedded hardware and firmware for a smart home device.,Develop firmware for a smart home device | Document hardware interfaces | Debug embedded systems issues,"C++, Embedded C, Microcontrollers, C",PCB Design,B.Tech/B.E. (Computer Science or related),0 years (Fresher/Student),B.Tech/B.E. (Computer Science or related),"₹25,000/month",https://careers.example.com/jobs/14
9,Product Analyst Intern,Silverline Consulting,Nagpur,Full-time,Business Analysis,Support our product and strategy teams by analyzing data related to a subscription product.,Prepare reports and dashboards | Analyze data to identify trends | Gather and document business requirements for a subscription product,"SQL, Data Analysis, Excel, Requirement Gathering","Power BI, JIRA",MCA / M.Sc Computer Science,0-1 years,MCA / M.Sc Computer Science,₹8 LPA,https://careers.example.com/jobs/9
118,QA Intern,PixelForge Studios,Delhi NCR,Internship,Quality Assurance,Help ensure the quality and reliability of an e-commerce checkout flow before release.,Perform regression testing | Automate repetitive test scenarios | Log and track defects,"Test Case Design, Bug Tracking, Manual Testing, SQL","JMeter, Selenium, Postman",Pursuing MBA,0 years (Fresher/Student),Pursuing MBA,"₹25,000/month",https://careers.example.com/jobs/118
30,Product Management Intern,Bluepine Software,Coimbatore,Full-time,Product Management,Support our product team in shaping the roadmap for an internal tools suite.,Coordinate with engineering and design | Assist in defining product requirements for an internal tools suite | Support sprint planning,"Communication Skills, User Research, Product Roadmapping, Agile","JIRA, Figma, SQL",Pursuing MBA,0-1 years,Pursuing MBA,₹4 LPA,https://careers.example.com/jobs/30
122,AI Research Intern,Momentum Fintech,Kolkata,Internship,Data Science & ML,Join our data team to help extract insights and build predictive models for a recommendation engine.,Perform exploratory data analysis on a recommendation engine | Build and evaluate ML models | Deploy models into production pipelines,"NumPy, SQL, Statistics",NLP,MBA (any specialization),0 years (Fresher/Student),MBA (any specialization),"₹12,000/month",https://careers.example.com/jobs/122
94,Android Developer Intern,Pinnacle Web Works,Pune,Full-time,Mobile App Development,Work on our mobile app used by thousands of users to build a food delivery app.,Optimize app performance and battery usage | Develop and test mobile features for a food delivery app | Fix bugs reported by QA,"Dart, Java, Flutter, Kotlin",Swift,Any graduate (technical background preferred),0-1 years,Any graduate (technical background preferred),₹8 LPA,https://careers.example.com/jobs/94
154,Android Developer Intern,Solstice Software,Noida,Internship,Mobile App Development,Work on our mobile app used by thousands of users to build a fitness tracking app.,Fix bugs reported by QA | Develop and test mobile features for a fitness tracking app | Integrate third-party SDKs,"Flutter, Dart, Kotlin, Android SDK","REST APIs, SQLite, Swift",BCA / B.Sc IT,0 years (Fresher/Student),BCA / B.Sc IT,"₹12,000/month",https://careers.example.com/jobs/154
147,Content Writing Intern,Highbridge Technologies,Delhi NCR,Full-time,Content Writing,"Help us create engaging, high-quality content for our developer blog.",Research industry topics for blog posts | Optimize content for SEO | Write and edit content for our developer blog,"Research Skills, Editing, SEO Writing, Content Writing","Grammarly, Content Strategy",Diploma or Degree in relevant field,1-2 years,Diploma or Degree in relevant field,₹3 LPA,https://careers.example.com/jobs/147
